,g^4,gamma,D(p),error,p
0,0.0,1.0,0.9091676555600527,0.03301858265492026,0.0
1,0.0,1.0,1.0166733261890233,0.023179794023523558,0.19634954084936207
2,0.0,1.0,0.8174336333759368,0.02322567362610236,0.39269908169872414
3,0.0,1.0,0.7411268366466701,0.023148111062662347,0.5890486225480862
4,0.0,1.0,0.612876658674066,0.02310693513911656,0.7853981633974483
5,0.0,1.0,0.664333560732182,0.023165997037618558,0.9817477042468103
6,0.0,1.0,0.5187418115069057,0.02311950307557083,1.1780972450961724
7,0.0,1.0,0.321429415184422,0.023251977018092593,1.3744467859455345
8,0.0,1.0,0.3127746365814693,0.023171347268962278,1.5707963267948966
9,0.0,1.0,0.2359903141114698,0.02320035021841671,1.7671458676442586
10,0.0,1.0,0.26604119041749363,0.0231679922587853,1.9634954084936207
11,0.0,1.0,0.20487575545977965,0.023197161908801292,2.1598449493429825
12,0.0,1.0,0.21915113918781973,0.023138321402196845,2.356194490192345
13,0.0,1.0,0.24438584273929356,0.023158128909788796,2.552544031041707
14,0.0,1.0,0.17395992585268052,0.023180484052964773,2.748893571891069
15,0.0,1.0,0.18981197086436036,0.023150144562759337,2.945243112740431
16,0.0,1.0,0.24122004095624625,0.03282363704704788,3.141592653589793
17,0.0,1.0,0.19260038295350987,0.02310729660163309,3.3379421944391554
18,0.0,1.0,0.1292163020952222,0.023159341205658296,3.5342917352885173
19,0.0,1.0,0.19542526222030449,0.0232153442161172,3.730641276137879
20,0.0,1.0,0.255421065267929,0.023147347675969324,3.9269908169872414
21,0.0,1.0,0.17051479799468544,0.023105602215919046,4.123340357836604
22,0.0,1.0,0.2711306936195857,0.023192815500048706,4.319689898685965
23,0.0,1.0,0.2870010130651638,0.023263559120040345,4.516039439535327
24,0.0,1.0,0.3415660045307711,0.02318714288903784,4.71238898038469
25,0.0,1.0,0.4376036686957534,0.023231695290365128,4.908738521234052
26,0.0,1.0,0.4271750165976503,0.02319012377433981,5.105088062083414
27,0.0,1.0,0.6178028532532988,0.02316473868183736,5.301437602932776
28,0.0,1.0,0.6008009646754094,0.023164508425619342,5.497787143782138
29,0.0,1.0,0.8177830941096114,0.023123692065136366,5.6941366846315
30,0.0,1.0,0.638215105593039,0.023153407545294144,5.890486225480862
31,0.0,1.0,0.8001852488662182,0.023154529833946252,6.086835766330224
