g^4,gamma,D(p),error,p
40.0,1.0,0.2449980864413291,0.0112405476843023,5.105088062083414
40.0,1.0,0.2345635081308299,0.0123602268463251,5.301437602932776
40.0,1.0,0.2751388235163462,0.013348913703009,5.497787143782138
40.0,1.0,0.2876376043448863,0.0112628579785833,5.6941366846315
40.0,1.0,0.2771669435563668,0.0098110235587856,5.890486225480862
40.0,1.0,0.3418183920853483,0.0126769657726643,6.086835766330224
10.0,1.0,0.553743660677458,0.0295427894920508,0.0
10.0,1.0,0.5554191262566556,0.021178518839678,0.196349540849362
10.0,1.0,0.5023781630084244,0.0192289222377567,0.3926990816987241
10.0,1.0,0.4575600674106687,0.0180585300918146,0.5890486225480862
10.0,1.0,0.3992288335121323,0.017814494770983,0.7853981633974483
10.0,1.0,0.380096287625882,0.0141603637273492,0.9817477042468103
10.0,1.0,0.3381331885037579,0.0148409702252402,1.1780972450961724
10.0,1.0,0.3166060909722779,0.0133577458682121,1.3744467859455345
10.0,1.0,0.2817445581698195,0.0125018724960719,1.5707963267948966
10.0,1.0,0.2648211213199624,0.0118419087993543,1.7671458676442586
10.0,1.0,0.2083339777743231,0.0112059649150351,1.9634954084936207
10.0,1.0,0.2207543075662862,0.0112744352908145,2.1598449493429825
10.0,1.0,0.2107486990542191,0.0110862996900078,2.356194490192345
10.0,1.0,0.194554287625723,0.0112755332097633,2.552544031041707
10.0,1.0,0.1853654735719876,0.0103763191723806,2.748893571891069
10.0,1.0,0.1845619852813539,0.0118065275019096,2.945243112740431
10.0,1.0,0.183735144903297,0.0144781695316328,3.141592653589793
10.0,1.0,0.177340336895039,0.0100630951136998,3.3379421944391554
10.0,1.0,0.1715181665484378,0.0094667710102904,3.5342917352885173
10.0,1.0,0.1776760903342677,0.0112590995159055,3.730641276137879
10.0,1.0,0.220587085263705,0.0112269994841023,3.9269908169872414
10.0,1.0,0.2141015591985631,0.010274191248167,4.123340357836604
10.0,1.0,0.2022207340009736,0.0108377874788765,4.319689898685965
10.0,1.0,0.2469415002067881,0.0114739722683946,4.516039439535327
10.0,1.0,0.2690553107435672,0.0136313884301137,4.71238898038469
