g^4,gamma,D(p),error,p
20.0,1.0,-0.002851927897593,0.0300079938653598,1.7671458676442586
20.0,1.0,0.0103596430484076,0.0287727201904911,1.9634954084936207
20.0,1.0,-0.0731650202447216,0.0227532867989207,2.1598449493429825
20.0,1.0,-0.1585197683725597,0.03263443335799,2.356194490192345
20.0,1.0,-0.0957485351735833,0.0293652955202588,2.552544031041707
20.0,1.0,-0.1432516539613725,0.029634665390007,2.748893571891069
20.0,1.0,-0.2142593474125832,0.0326939437197955,2.945243112740431
20.0,1.0,-0.1697124512312419,0.0407396697717339,3.141592653589793
20.0,1.0,-0.202128910693232,0.0277710138306471,3.3379421944391554
20.0,1.0,-0.1313587029858556,0.0285696811146751,3.5342917352885173
20.0,1.0,-0.1767107864098252,0.02846653385653,3.730641276137879
20.0,1.0,-0.1205371425270217,0.0288095290512075,3.9269908169872414
20.0,1.0,-0.041038602544415,0.0340846361825648,4.123340357836604
20.0,1.0,-0.0301095725950929,0.0349597809493244,4.319689898685965
20.0,1.0,0.0276765474039782,0.0348010044909267,4.516039439535327
20.0,1.0,0.0032093957965186,0.0254392179128194,4.71238898038469
20.0,1.0,0.0135859543520168,0.0291467367261102,4.908738521234052
20.0,1.0,0.1190457432992658,0.0265840075232626,5.105088062083414
20.0,1.0,0.0835991891267704,0.0303756435578974,5.301437602932776
20.0,1.0,0.0887038300517042,0.0363227351717952,5.497787143782138
20.0,1.0,0.058294382019183,0.0313808546128395,5.6941366846315
20.0,1.0,0.1310137638208413,0.0285345353772565,5.890486225480862
20.0,1.0,0.1551493173096146,0.0329976095820133,6.086835766330224
10.0,1.0,0.6344011760612152,0.0541064008687376,0.0
10.0,1.0,0.6542019194218276,0.0363983803114686,0.196349540849362
10.0,1.0,0.699479106023454,0.03507465135729,0.3926990816987241
10.0,1.0,0.5705658456855213,0.0371408391123816,0.5890486225480862
10.0,1.0,0.4807575018114973,0.0354028884667099,0.7853981633974483
10.0,1.0,0.3067208074227991,0.0409855555137114,0.9817477042468103
10.0,1.0,0.2971367617114135,0.036270790456654,1.1780972450961724
10.0,1.0,0.2173554005914756,0.0336466133681956,1.3744467859455345
10.0,1.0,0.0996771836806029,0.0321472582160592,1.5707963267948966
10.0,1.0,-0.1022142350537159,0.0327482164319732,1.7671458676442586
10.0,1.0,-0.1245425866399763,0.0352554276491502,1.9634954084936207
