g^4,gamma,D(p),error,p
0.5,1.0,1.041098311491802,0.0338652430179185,0.0
0.5,1.0,0.9366301322289796,0.0211545156162032,0.196349540849362
0.5,1.0,0.8371643554810726,0.0232039753157294,0.3926990816987241
0.5,1.0,0.70721346111431,0.0229458458808462,0.5890486225480862
0.5,1.0,0.6324019438142614,0.0177020197524555,0.7853981633974483
0.5,1.0,0.5147934900377932,0.0182912911162591,0.9817477042468103
0.5,1.0,0.418997143948315,0.0172497579123582,1.1780972450961724
0.5,1.0,0.3689004996604261,0.0126481939134854,1.3744467859455345
0.5,1.0,0.3377198746818273,0.0122124547778115,1.5707963267948966
0.5,1.0,0.2768112156997689,0.0124882795841417,1.7671458676442586
0.5,1.0,0.2462149179632522,0.0128016652180145,1.9634954084936207
0.5,1.0,0.2521066948997185,0.011844714447849,2.1598449493429825
0.5,1.0,0.2316963708867944,0.0118811951974226,2.356194490192345
0.5,1.0,0.2273322582469095,0.0122028245478541,2.552544031041707
0.5,1.0,0.1982730569732385,0.0121464224616194,2.748893571891069
0.5,1.0,0.196192794235868,0.0108997079247564,2.945243112740431
0.5,1.0,0.2212188702038847,0.0141237572140138,3.141592653589793
0.5,1.0,0.195967226241433,0.011807272592785,3.3379421944391554
0.5,1.0,0.2070944873651685,0.0110087587030072,3.5342917352885173
0.5,1.0,0.224280316111662,0.0096631447022902,3.730641276137879
0.5,1.0,0.2170727746118145,0.0120433867132733,3.9269908169872414
0.5,1.0,0.2257945169168665,0.0126366527842689,4.123340357836604
0.5,1.0,0.270584855267394,0.0119292524464046,4.319689898685965
0.5,1.0,0.292644321725839,0.0127724015609374,4.516039439535327
0.5,1.0,0.3389271392729574,0.0137412505157729,4.71238898038469
0.5,1.0,0.4102836014399093,0.01444765356261,4.908738521234052
0.5,1.0,0.4339440235277037,0.0153941080124414,5.105088062083414
0.5,1.0,0.5025270925278048,0.0167329606106574,5.301437602932776
0.5,1.0,0.6411873306308584,0.0193149793474104,5.497787143782138
