g^4,gamma,D(p),error,p,comment
0.5,1.0,1.041098311491802,0.0338652430179185,0.0,working
0.5,1.0,0.9366301322289796,0.0211545156162032,0.196349540849362,working
0.5,1.0,0.8371643554810726,0.0232039753157294,0.3926990816987241,working
0.5,1.0,0.70721346111431,0.0229458458808462,0.5890486225480862,working
0.5,1.0,0.6324019438142614,0.0177020197524555,0.7853981633974483,working
0.5,1.0,0.5147934900377932,0.0182912911162591,0.9817477042468103,working
0.5,1.0,0.418997143948315,0.0172497579123582,1.1780972450961724,working
0.5,1.0,0.3689004996604261,0.0126481939134854,1.3744467859455345,working
0.5,1.0,0.3377198746818273,0.0122124547778115,1.5707963267948966,working
0.5,1.0,0.2768112156997689,0.0124882795841417,1.7671458676442586,working
0.5,1.0,0.2462149179632522,0.0128016652180145,1.9634954084936207,working
0.5,1.0,0.2521066948997185,0.011844714447849,2.1598449493429825,working
0.5,1.0,0.2316963708867944,0.0118811951974226,2.356194490192345,working
0.5,1.0,0.2273322582469095,0.0122028245478541,2.552544031041707,working
0.5,1.0,0.1982730569732385,0.0121464224616194,2.748893571891069,working
0.5,1.0,0.196192794235868,0.0108997079247564,2.945243112740431,working
0.5,1.0,0.2212188702038847,0.0141237572140138,3.141592653589793,working
0.5,1.0,0.195967226241433,0.011807272592785,3.3379421944391554,working
0.5,1.0,0.2070944873651685,0.0110087587030072,3.5342917352885173,working
0.5,1.0,0.224280316111662,0.0096631447022902,3.730641276137879,working
0.5,1.0,0.2170727746118145,0.0120433867132733,3.9269908169872414,working
0.5,1.0,0.2257945169168665,0.0126366527842689,4.123340357836604,working
0.5,1.0,0.270584855267394,0.0119292524464046,4.319689898685965,working
0.5,1.0,0.292644321725839,0.0127724015609374,4.516039439535327,working
0.5,1.0,0.3389271392729574,0.0137412505157729,4.71238898038469,working
0.5,1.0,0.4102836014399093,0.01444765356261,4.908738521234052,working
0.5,1.0,0.4339440235277037,0.0153941080124414,5.105088062083414,working
0.5,1.0,0.5025270925278048,0.0167329606106574,5.301437602932776,working
0.5,1.0,0.6411873306308584,0.0193149793474104,5.497787143782138,working
0.5,1.0,0.7451365429599539,0.0204040957354443,5.6941366846315,working
0.5,1.0,0.8491167925515921,0.0235266719074284,5.890486225480862,working
0.5,1.0,0.923495239038029,0.024453551863346,6.086835766330224,working
40.0,1.0,0.3400867181037247,0.0176225440522507,0.0,working
40.0,1.0,0.3206196450078943,0.0101094280068904,0.196349540849362,working
40.0,1.0,0.3018756612765804,0.0103459372909401,0.3926990816987241,working
40.0,1.0,0.3041140850831718,0.0107457551753291,0.5890486225480862,working
40.0,1.0,0.27792944846899,0.0105490183837392,0.7853981633974483,working
40.0,1.0,0.2318814089754411,0.0103290720933532,0.9817477042468103,working
40.0,1.0,0.2097672263647135,0.009727013225331,1.1780972450961724,working
40.0,1.0,0.2215044417768599,0.0084953691904387,1.3744467859455345,working
40.0,1.0,0.1972202226380938,0.0096408276575531,1.5707963267948966,working
40.0,1.0,0.1880937467121043,0.0104026899563186,1.7671458676442586,working
40.0,1.0,0.1734143645676914,0.0081419467601237,1.9634954084936207,working
40.0,1.0,0.1566510801023456,0.0081458618506143,2.1598449493429825,working
40.0,1.0,0.1421588796707941,0.0077961308698155,2.356194490192345,working
40.0,1.0,0.142394508437593,0.0084157702293313,2.552544031041707,working
40.0,1.0,0.1536784827205211,0.0073738644265367,2.748893571891069,working
40.0,1.0,0.1508910306374061,0.0068464325594525,2.945243112740431,working
40.0,1.0,0.1133880677673252,0.0108765341202773,3.141592653589793,working
40.0,1.0,0.13687054479041,0.0082536385652779,3.3379421944391554,working
40.0,1.0,0.1483442267051557,0.0074519329649831,3.5342917352885173,working
40.0,1.0,0.1344842179730239,0.0085643166833661,3.730641276137879,working
40.0,1.0,0.1748930582951346,0.0084559462834761,3.9269908169872414,working
40.0,1.0,0.1424291392922397,0.0087863352360058,4.123340357836604,working
40.0,1.0,0.1712533264442829,0.0084756037043057,4.319689898685965,working
40.0,1.0,0.1653612926528201,0.0079225047801309,4.516039439535327,working
40.0,1.0,0.1965321143151813,0.0099893460750048,4.71238898038469,working
40.0,1.0,0.1963810488461138,0.0086488934276049,4.908738521234052,working
40.0,1.0,0.2273109125482411,0.0103304317165743,5.105088062083414,working
40.0,1.0,0.2547252003710581,0.0105677600404799,5.301437602932776,working
40.0,1.0,0.2647203091463034,0.0101161910849918,5.497787143782138,working
40.0,1.0,0.2719534688356997,0.0104263547432971,5.6941366846315,working
