,g^4,gamma,f,f_error
0,0.0,1.0,0.0,0.0
1,0.25125628140703515,1.0,0.0020044857265995738,5.341022894888e-16
2,0.5025125628140703,1.0,0.003948394960763686,1.0520637589809084e-15
3,0.7537688442211055,1.0,0.00584374881640725,1.954944845905985e-09
4,1.0050251256281406,1.0,0.007697777664912871,2.051100340292537e-15
5,1.2562814070351758,1.0,0.0095025182652552,1.3283561846932823e-09
6,1.507537688442211,1.0,0.011273373509770292,6.120982074174592e-09
7,1.758793969849246,1.0,0.01302108950845792,1.4380195969168332e-08
8,2.0100502512562812,1.0,0.014728442077279252,3.924441525711119e-15
9,2.2613065326633164,1.0,0.016396609792939738,9.582939408285732e-09
10,2.5125628140703515,1.0,0.01803063594824937,3.3815741919249272e-09
11,2.7638190954773867,1.0,0.01963446641328128,4.347354643259567e-09
12,3.015075376884422,1.0,0.02121408154175722,1.3363753247951877e-08
13,3.266331658291457,1.0,0.02276822315890098,5.28388180755489e-09
14,3.517587939698492,1.0,0.02430344533779936,1.1861614413141281e-08
15,3.7688442211055273,1.0,0.02580981339693109,9.460663224259306e-09
16,4.0201005025125625,1.0,0.02728608308700559,7.270818196936154e-15
17,4.271356783919598,1.0,0.028738399621752855,1.1197452909562573e-08
18,4.522613065326633,1.0,0.030170035884709345,1.1093204110431108e-08
19,4.773869346733668,1.0,0.03158604518780964,1.480325490126872e-08
20,5.025125628140703,1.0,0.03298850064646091,1.4650196825416501e-08
21,5.276381909547738,1.0,0.03436736587898675,1.4625881248386416e-08
22,5.527638190954773,1.0,0.03572378759386927,1.0774489108769044e-08
23,5.7788944723618085,1.0,0.037067748315997455,1.3727289240566819e-08
24,6.030150753768844,1.0,0.03839350773154645,1.467670418130432e-08
25,6.281407035175879,1.0,0.039708421444735735,1.2854188918048932e-08
26,6.532663316582914,1.0,0.04100706388236839,1.3682198953837213e-08
27,6.783919597989949,1.0,0.04228621025416379,1.2438450388507923e-08
28,7.035175879396984,1.0,0.04354804047182408,1.4348565586102003e-08
29,7.2864321608040195,1.0,0.04479347212770535,1.3344758908026404e-08
30,7.537688442211055,1.0,0.04602776877947868,1.5919406087611475e-08
31,7.78894472361809,1.0,0.04724784384633659,1.4586846025068907e-08
32,8.040201005025125,1.0,0.04845584503804826,1.2890328093883838e-14
33,8.29145728643216,1.0,0.04965092365442771,1.718117988565782e-08
34,8.542713567839195,1.0,0.05083079942021922,1.2294603887587655e-08
35,8.793969849246231,1.0,0.051999200523740345,1.7072558923222768e-08
36,9.045226130653266,1.0,0.05315574693292129,2.6458787897378806e-08
37,9.2964824120603,1.0,0.05430211220015919,1.617971598481749e-08
38,9.547738693467336,1.0,0.05544406507691149,2.6437240519199196e-08
39,9.798994974874372,1.0,0.05656951528040152,1.7185987642546437e-08
40,10.050251256281406,1.0,0.05767853860218703,3.786445967176412e-08
41,10.30150753768844,1.0,0.058777533444431845,2.2038207571516736e-08
42,10.552763819095476,1.0,0.05986487772208229,4.274509276896898e-08
43,10.804020100502512,1.0,0.06094188665940422,3.377689712000349e-08
44,11.055276381909547,1.0,0.062011485587972794,2.5327131251357816e-08
45,11.306532663316581,1.0,0.06307488644096827,4.2481046570260865e-08
46,11.557788944723617,1.0,0.06412344151453131,4.170629627631826e-08
47,11.809045226130653,1.0,0.06515899885298541,6.371293625238081e-08
48,12.060301507537687,1.0,0.06618868059845615,1.4895919656319597e-07
49,12.311557788944722,1.0,0.06720981995005386,9.471205284971019e-08
50,12.562814070351758,1.0,0.06822442466679783,8.692354972891904e-08
51,12.814070351758794,1.0,0.06923443679313897,1.059232710202658e-07
52,13.065326633165828,1.0,0.07023134172025793,2.368176397580436e-08
53,13.316582914572862,1.0,0.07121660493562526,1.6132196543920183e-07
54,13.567839195979898,1.0,0.07219603557822345,1.1928427240876874e-07
55,13.819095477386934,1.0,0.07317041971965531,1.186448905894271e-07
56,14.070351758793969,1.0,0.07413915130377967,4.028370755167514e-07
57,14.321608040201003,1.0,0.07509965398188494,1.5687884714850066e-07
58,14.572864321608039,1.0,0.07605107272860148,2.1005956084603396e-07
59,14.824120603015075,1.0,0.0769961962284898,1.3953406623538237e-07
60,15.07537688442211,1.0,0.07793611780697697,6.983742523124537e-07
61,15.326633165829143,1.0,0.07886598422937781,3.619147039236254e-07
62,15.57788944723618,1.0,0.07979120225052043,2.567858020662024e-07
63,15.829145728643216,1.0,0.0807095619105851,3.480049275354677e-07
64,16.08040201005025,1.0,0.08161952175020674,1.4999786449816105e-06
65,16.331658291457284,1.0,0.0825237686544865,4.2201378718583763e-07
66,16.58291457286432,1.0,0.0834195802629419,6.799754025417093e-07
67,16.834170854271356,1.0,0.08431072534122191,5.190433889039977e-07
68,17.08542713567839,1.0,0.0852005658294787,9.47696473192622e-07
69,17.336683417085425,1.0,0.08608197172668496,9.082935570001731e-07
70,17.587939698492463,1.0,0.08695967379244003,6.522500958869873e-07
71,17.839195979899497,1.0,0.08783120658148293,5.169054933845854e-07
72,18.09045226130653,1.0,0.08869248502377902,1.2188631592695807e-06
73,18.341708542713565,1.0,0.08954987095524526,7.483970123024628e-07
74,18.5929648241206,1.0,0.09040189297877971,9.056595463663634e-07
75,18.844221105527637,1.0,0.09125021548016994,8.426458715949873e-07
76,19.09547738693467,1.0,0.09209053449493533,1.1024592326288118e-06
77,19.346733668341706,1.0,0.09292725260314995,1.5251463812085724e-06
78,19.597989949748744,1.0,0.09375934560872884,1.2804875734315806e-06
79,19.849246231155778,1.0,0.0945874974742129,1.8694451106660165e-06
80,20.100502512562812,1.0,0.09541009747744746,2.784006142618876e-06
81,20.351758793969847,1.0,0.09622573032466607,2.9314452054088755e-06
82,20.60301507537688,1.0,0.09703848321882752,3.4848164179434446e-06
83,20.85427135678392,1.0,0.0978414951955966,4.273141109152958e-06
84,21.105527638190953,1.0,0.09864410034413941,2.0904873323038654e-06
85,21.356783919597987,1.0,0.0994445534021629,3.1387667206925743e-06
86,21.608040201005025,1.0,0.10023645286197863,3.6069828268432015e-06
87,21.85929648241206,1.0,0.10102340817710669,5.564755275929443e-06
88,22.110552763819094,1.0,0.10180548032343044,5.427645448862591e-06
89,22.361809045226128,1.0,0.10258222811638495,4.274268949154799e-06
90,22.613065326633162,1.0,0.10335521828051299,3.7849114538019296e-06
91,22.8643216080402,1.0,0.1041244319326692,5.3880740966956675e-06
92,23.115577889447234,1.0,0.10488940142460886,6.997770250837907e-06
93,23.36683417085427,1.0,0.10565237772318731,3.869241047654266e-06
94,23.618090452261306,1.0,0.10641074886198791,3.6449430742137735e-06
95,23.86934673366834,1.0,0.10716704020143092,8.897072288037951e-06
96,24.120603015075375,1.0,0.10791633136629243,3.7022801431403984e-06
97,24.37185929648241,1.0,0.10865994489112257,5.609433731748484e-06
98,24.623115577889443,1.0,0.10940202635495815,8.644934609538486e-06
99,24.87437185929648,1.0,0.11013962710783924,8.008832580249103e-06
100,25.125628140703515,1.0,0.11087248913101226,5.6204686758168995e-06
101,25.37688442211055,1.0,0.11160125929250815,1.0963272820429037e-05
102,25.628140703517587,1.0,0.11232620474435671,1.0432660751793494e-05
103,25.87939698492462,1.0,0.11304858278941077,8.730433240393062e-06
104,26.130653266331656,1.0,0.11376910126175965,3.00781528880591e-06
105,26.38190954773869,1.0,0.11448549087528735,3.5677372131186214e-06
106,26.633165829145725,1.0,0.11519818914546527,3.891766944317004e-06
107,26.884422110552762,1.0,0.11590588558748562,3.2791867206044258e-06
108,27.135678391959797,1.0,0.1166103978732797,4.650882653605805e-06
109,27.38693467336683,1.0,0.11731286310289224,3.7541987389691957e-06
110,27.63819095477387,1.0,0.11800991854745407,6.95127267850326e-06
111,27.889447236180903,1.0,0.11870366389988583,6.425963046945689e-06
112,28.140703517587937,1.0,0.11939306700157672,4.877192553661595e-06
113,28.39195979899497,1.0,0.12007756327695639,5.50397390185133e-06
114,28.643216080402006,1.0,0.12075803965226446,7.342139364192547e-06
115,28.894472361809044,1.0,0.12143633234821054,7.007716485850412e-06
116,29.145728643216078,1.0,0.12211255822755483,1.5094136079088534e-05
117,29.396984924623112,1.0,0.12278471123915187,7.722723145678162e-06
118,29.64824120603015,1.0,0.12345583694512374,9.40565792887676e-06
119,29.899497487437184,1.0,0.12412614388650739,1.1116542418590924e-05
120,30.15075376884422,1.0,0.12479272597364748,1.3027544655033808e-05
121,30.402010050251253,1.0,0.1254545939818034,1.5508904222796253e-05
122,30.653266331658287,1.0,0.12611360932491542,1.65334323469901e-05
123,30.904522613065325,1.0,0.12676852079803289,1.4105020819945561e-05
124,31.15577889447236,1.0,0.1274215519371118,1.4121718502300482e-05
125,31.407035175879393,1.0,0.12807438046225614,1.633392012515199e-05
126,31.65829145728643,1.0,0.12872337160502695,2.591374207146944e-05
127,31.909547738693465,1.0,0.12936817344136994,2.6722834346307615e-05
128,32.1608040201005,1.0,0.1300100049418674,3.8278442526961305e-05
129,32.41206030150754,1.0,0.1306500604883795,1.9509837585520356e-05
130,32.66331658291457,1.0,0.13128797316895188,3.038656193343849e-05
131,32.914572864321606,1.0,0.13192223822228513,2.13474569314713e-05
132,33.16582914572864,1.0,0.13255433188354368,3.296157128072857e-05
133,33.417085427135675,1.0,0.1331833710659982,2.7353980191113348e-05
134,33.66834170854271,1.0,0.13380910711405608,2.7713687805926448e-05
135,33.91959798994974,1.0,0.13443098695757463,5.862011787266068e-05
136,34.17085427135678,1.0,0.13504985859313914,4.4114588218430823e-05
137,34.42211055276382,1.0,0.13566720217820713,3.8043872685906085e-05
138,34.67336683417085,1.0,0.13628516181397785,4.929916935298889e-05
139,34.92462311557789,1.0,0.1369010685599196,3.905989210176724e-05
140,35.175879396984925,1.0,0.13751173335252728,4.676587274037624e-05
141,35.427135678391956,1.0,0.13811922607612712,7.831760091180025e-05
142,35.678391959798994,1.0,0.13872207541004025,4.077435139617461e-05
143,35.929648241206024,1.0,0.13932297617714665,6.95534466390375e-05
144,36.18090452261306,1.0,0.13992477680792545,0.00010891875821314439
145,36.4321608040201,1.0,0.14052503058122448,7.038609971170357e-05
