,g^4,gamma,D(p),error,p
0,0.0,1.0,1.0010914759465301,0.043098971268914904,0.0
1,0.0,1.0,0.9198227805451257,0.029738444546156925,0.19634954084936207
2,0.0,1.0,0.8377987168023244,0.02719137908152997,0.39269908169872414
3,0.0,1.0,0.7696099756940643,0.023472636454836562,0.5890486225480862
4,0.0,1.0,0.6526206900141184,0.020815487944613822,0.7853981633974483
5,0.0,1.0,0.5237034767241062,0.01648180060110276,0.9817477042468103
6,0.0,1.0,0.45268307465075985,0.014480503723081503,1.1780972450961724
7,0.0,1.0,0.3729947326275978,0.011494478422966008,1.3744467859455345
8,0.0,1.0,0.3429548355962453,0.010724141590516476,1.5707963267948966
9,0.0,1.0,0.29717948123335486,0.009443714719562827,1.7671458676442586
10,0.0,1.0,0.2573119920293203,0.008214880610266212,1.9634954084936207
11,0.0,1.0,0.2443589220749298,0.00777408586700298,2.1598449493429825
12,0.0,1.0,0.22157264103787333,0.006834085081829326,2.356194490192345
13,0.0,1.0,0.22960630152072523,0.007100974616963165,2.552544031041707
14,0.0,1.0,0.21211282881799398,0.006746633922664652,2.748893571891069
15,0.0,1.0,0.196203203930996,0.005926814162309301,2.945243112740431
16,0.0,1.0,0.19954678036636142,0.00911167021776785,3.141592653589793
17,0.0,1.0,0.19620320393099594,0.005926814162309292,3.3379421944391554
18,0.0,1.0,0.21211282881799484,0.006746633922664653,3.5342917352885173
19,0.0,1.0,0.2296063015207249,0.00710097461696315,3.730641276137879
20,0.0,1.0,0.22157264103787502,0.006834085081829331,3.9269908169872414
21,0.0,1.0,0.2443589220749315,0.007774085867002976,4.123340357836604
22,0.0,1.0,0.2573119920293228,0.00821488061026618,4.319689898685965
23,0.0,1.0,0.29717948123335497,0.009443714719562795,4.516039439535327
24,0.0,1.0,0.3429548355962488,0.010724141590516406,4.71238898038469
25,0.0,1.0,0.372994732627599,0.01149447842296608,4.908738521234052
26,0.0,1.0,0.4526830746507583,0.014480503723081425,5.105088062083414
27,0.0,1.0,0.523703476724108,0.016481800601102877,5.301437602932776
28,0.0,1.0,0.6526206900141207,0.02081548794461376,5.497787143782138
29,0.0,1.0,0.7696099756940651,0.023472636454836632,5.6941366846315
30,0.0,1.0,0.8377987168023266,0.02719137908152999,5.890486225480862
31,0.0,1.0,0.919822780545126,0.02973844454615702,6.086835766330224
32,0.0,1.0,1.0010914759465301,0.043098971268914904,6.283185307179586
33,0.5,1.0,0.9936898672770088,0.04575416607293302,0.0
34,0.5,1.0,0.9305967598491419,0.03144417045524886,0.19634954084936207
35,0.5,1.0,0.8156992278371222,0.024842006239029605,0.39269908169872414
36,0.5,1.0,0.7571529418960717,0.02276931813060373,0.5890486225480862
37,0.5,1.0,0.580735703957692,0.01789888339608513,0.7853981633974483
38,0.5,1.0,0.4994504904986108,0.015393643300390494,0.9817477042468103
39,0.5,1.0,0.43092779817882493,0.013823865856167981,1.1780972450961724
40,0.5,1.0,0.3764788146971001,0.012074387894511486,1.3744467859455345
41,0.5,1.0,0.3219472875593294,0.010025678269095669,1.5707963267948966
42,0.5,1.0,0.2812093603483,0.008969623944172386,1.7671458676442586
43,0.5,1.0,0.27246823014623944,0.00870464683690572,1.9634954084936207
44,0.5,1.0,0.24014795019410543,0.007467447666485101,2.1598449493429825
45,0.5,1.0,0.22400830406965783,0.007077647066614362,2.356194490192345
46,0.5,1.0,0.22110882214907043,0.007257423171698569,2.552544031041707
47,0.5,1.0,0.19002803706233068,0.005876269267875567,2.748893571891069
48,0.5,1.0,0.20660751808762257,0.006552167165833551,2.945243112740431
49,0.5,1.0,0.18683433700666355,0.007551243089136349,3.141592653589793
50,0.5,1.0,0.20660751808762262,0.00655216716583355,3.3379421944391554
51,0.5,1.0,0.19002803706233154,0.0058762692678755845,3.5342917352885173
52,0.5,1.0,0.2211088221490701,0.0072574231716985805,3.730641276137879
