,g^4,gamma,D(p),error,p
0,0.0,1.0,0.9968324653992546,0.013954933423195351,0.0
1,0.0,1.0,0.9690170726024621,0.009753619620487423,0.19634954084936207
2,0.0,1.0,0.8601779545734649,0.008616048400604925,0.39269908169872414
3,0.0,1.0,0.7477626823624052,0.007459415215070009,0.5890486225480862
4,0.0,1.0,0.642229553092124,0.00645320984842278,0.7853981633974483
5,0.0,1.0,0.5345492658586231,0.005397335722407277,0.9817477042468103
6,0.0,1.0,0.45153116652801145,0.004488422673352506,1.1780972450961724
7,0.0,1.0,0.3798979579459854,0.003741500523567681,1.3744467859455345
8,0.0,1.0,0.3280670386454965,0.0033176556069733003,1.5707963267948966
9,0.0,1.0,0.2935870992828083,0.0029579798346116744,1.7671458676442586
10,0.0,1.0,0.2707954671173679,0.0027381325632157183,1.9634954084936207
11,0.0,1.0,0.24464923683133744,0.0024463398089972594,2.1598449493429825
12,0.0,1.0,0.22255625262305212,0.002226244480065675,2.356194490192345
13,0.0,1.0,0.2195791806579974,0.002187184474622031,2.552544031041707
14,0.0,1.0,0.20763807891736083,0.0020685042131478983,2.748893571891069
15,0.0,1.0,0.1997937533910358,0.0019871533883973292,2.945243112740431
16,0.0,1.0,0.20248157872720277,0.002904015418108638,3.141592653589793
17,0.0,1.0,0.1997937533910358,0.001987153388397355,3.3379421944391554
18,0.0,1.0,0.2076380789173617,0.0020685042131478905,3.5342917352885173
19,0.0,1.0,0.21957918065799695,0.0021871844746220634,3.730641276137879
20,0.0,1.0,0.22255625262305362,0.0022262444800656713,3.9269908169872414
21,0.0,1.0,0.2446492368313391,0.0024463398089972395,4.123340357836604
22,0.0,1.0,0.2707954671173702,0.002738132563215699,4.319689898685965
23,0.0,1.0,0.2935870992828085,0.00295797983461166,4.516039439535327
24,0.0,1.0,0.3280670386455,0.0033176556069732747,4.71238898038469
25,0.0,1.0,0.37989795794598663,0.003741500523567678,4.908738521234052
26,0.0,1.0,0.4515311665280102,0.0044884226733525575,5.105088062083414
27,0.0,1.0,0.5345492658586246,0.0053973357224072855,5.301437602932776
28,0.0,1.0,0.6422295530921264,0.006453209848422888,5.497787143782138
29,0.0,1.0,0.747762682362406,0.007459415215070086,5.6941366846315
30,0.0,1.0,0.8601779545734672,0.008616048400604892,5.890486225480862
31,0.0,1.0,0.9690170726024626,0.009753619620487305,6.086835766330224
32,0.0,1.0,0.9968324653992546,0.013954933423195351,6.283185307179586
33,0.5,1.0,0.9307420097662942,0.013372668611882787,0.0
34,0.5,1.0,0.9241618672427114,0.009219372895220217,0.19634954084936207
35,0.5,1.0,0.8337928626325054,0.008513673864620534,0.39269908169872414
36,0.5,1.0,0.7088441583259322,0.0070240600202257555,0.5890486225480862
37,0.5,1.0,0.6014105529815257,0.00606208989908584,0.7853981633974483
38,0.5,1.0,0.5140839099895951,0.0052167642134513335,0.9817477042468103
39,0.5,1.0,0.43255713163170667,0.004296714127289911,1.1780972450961724
40,0.5,1.0,0.37655933776345685,0.0038460744041742944,1.3744467859455345
41,0.5,1.0,0.3263892272363277,0.0032815513439109667,1.5707963267948966
42,0.5,1.0,0.29309646234255665,0.0029149251904612484,1.7671458676442586
43,0.5,1.0,0.2627081363868686,0.0026208171889864737,1.9634954084936207
44,0.5,1.0,0.24090997577203094,0.0024282052980178974,2.1598449493429825
45,0.5,1.0,0.22053674401723156,0.002176298357883433,2.356194490192345
46,0.5,1.0,0.21448930123618457,0.002169025008987736,2.552544031041707
47,0.5,1.0,0.20265969964580913,0.002025534618509597,2.748893571891069
48,0.5,1.0,0.1957049702900851,0.0019194877600763837,2.945243112740431
49,0.5,1.0,0.19271865031367577,0.002724891587395139,3.141592653589793
50,0.5,1.0,0.1957049702900851,0.0019194877600763765,3.3379421944391554
